 Fx=  0.000000000000000E+000 Fy=  0.400000005960464      Fz=
  0.000000000000000E+000 top layer nodes
     1        -0.44792E-09         0.14830E-09        -0.49177E-09
     4         0.41822E+00        -0.73457E+00         0.35524E+00
     7         0.38919E+00        -0.14443E+01         0.35592E+00
    10         0.32782E+00        -0.21210E+01         0.33981E+00
    13         0.17975E+00        -0.25708E+01         0.32624E+00
    16         0.21538E-13        -0.27111E+01         0.31569E+00
    19        -0.17975E+00        -0.25708E+01         0.32624E+00
    22        -0.32782E+00        -0.21210E+01         0.33981E+00
    25        -0.38919E+00        -0.14443E+01         0.35592E+00
    28        -0.41822E+00        -0.73457E+00         0.35524E+00
    31         0.44792E-09         0.14830E-09        -0.49177E-09
    34         0.48441E+00        -0.66826E+00         0.29789E+00
    37         0.37971E+00        -0.13058E+01         0.35032E+00
    40         0.43476E+00        -0.20737E+01         0.38614E+00
    43         0.32718E+00        -0.27133E+01         0.36720E+00
    46         0.18481E+00        -0.31562E+01         0.36505E+00
    49         0.13899E-12        -0.33371E+01         0.36207E+00
    52        -0.18481E+00        -0.31562E+01         0.36505E+00
    55        -0.32718E+00        -0.27133E+01         0.36720E+00
    58        -0.43476E+00        -0.20737E+01         0.38614E+00
    61        -0.37971E+00        -0.13058E+01         0.35032E+00
    64        -0.48441E+00        -0.66826E+00         0.29789E+00
    67         0.38791E+00        -0.12245E+01         0.38143E+00
    70         0.46113E+00        -0.19846E+01         0.37412E+00
    73         0.40641E+00        -0.27002E+01         0.36563E+00
    76         0.33303E+00        -0.33383E+01         0.37086E+00
    79         0.18350E+00        -0.37831E+01         0.37580E+00
    82         0.13937E-12        -0.39027E+01         0.37733E+00
    85        -0.18350E+00        -0.37831E+01         0.37580E+00
    88        -0.33303E+00        -0.33383E+01         0.37086E+00
    91        -0.40641E+00        -0.27002E+01         0.36563E+00
    94        -0.46113E+00        -0.19846E+01         0.37412E+00
    97        -0.38791E+00        -0.12245E+01         0.38143E+00
   100         0.42833E+00        -0.19151E+01         0.29376E+00
   103         0.41540E+00        -0.25604E+01         0.29867E+00
   106         0.42097E+00        -0.32822E+01         0.30282E+00
   109         0.33896E+00        -0.39320E+01         0.30922E+00
   112         0.19887E+00        -0.43982E+01         0.33095E+00
   115         0.25940E-12        -0.46486E+01         0.34624E+00
   118        -0.19887E+00        -0.43982E+01         0.33095E+00
   121        -0.33896E+00        -0.39320E+01         0.30922E+00
   124        -0.42097E+00        -0.32822E+01         0.30282E+00
   127        -0.41540E+00        -0.25604E+01         0.29867E+00
   130        -0.42833E+00        -0.19151E+01         0.29376E+00
   133         0.37929E+00        -0.22804E+01         0.17075E+00
   136         0.42866E+00        -0.29704E+01         0.16634E+00
   139         0.41834E+00        -0.36938E+01         0.16947E+00
   142         0.36121E+00        -0.43612E+01         0.18140E+00
   145         0.22540E+00        -0.49375E+01         0.20558E+00
   148         0.20911E-12        -0.50451E+01         0.22487E+00
   151        -0.22540E+00        -0.49375E+01         0.20558E+00
   154        -0.36121E+00        -0.43612E+01         0.18140E+00
   157        -0.41834E+00        -0.36938E+01         0.16947E+00
   160        -0.42866E+00        -0.29704E+01         0.16634E+00
   163        -0.37929E+00        -0.22804E+01         0.17075E+00
   166         0.39745E+00        -0.24743E+01        -0.13446E-12
   169         0.41285E+00        -0.31131E+01        -0.20321E-12
   172         0.42975E+00        -0.38295E+01        -0.44821E-12
   175         0.36670E+00        -0.45622E+01        -0.71191E-12
   178         0.24500E+00        -0.50680E+01        -0.79412E-12
   181         0.22651E-12        -0.58171E+01        -0.93503E-12
   184        -0.24500E+00        -0.50680E+01        -0.98867E-12
   187        -0.36670E+00        -0.45622E+01        -0.93386E-12
   190        -0.42975E+00        -0.38295E+01        -0.72095E-12
   193        -0.41285E+00        -0.31131E+01        -0.51199E-12
   196        -0.39745E+00        -0.24743E+01        -0.41281E-12
   199         0.37929E+00        -0.22804E+01        -0.17075E+00
   202         0.42866E+00        -0.29704E+01        -0.16634E+00
   205         0.41834E+00        -0.36938E+01        -0.16947E+00
   208         0.36121E+00        -0.43612E+01        -0.18140E+00
   211         0.22540E+00        -0.49375E+01        -0.20558E+00
   214         0.10643E-12        -0.50451E+01        -0.22487E+00
   217        -0.22540E+00        -0.49375E+01        -0.20558E+00
   220        -0.36121E+00        -0.43612E+01        -0.18140E+00
   223        -0.41834E+00        -0.36938E+01        -0.16947E+00
